quarter,year,ID,collectors,date,day_no,x,y,trap_malfunction,trap_malfunction_reason,animal,recap,tag_id,genus,species,total_weight,bag_weight,animal_weight,life_stage,reproduction,sex,body_length,tail_length,tuft_length,foot_length,ear_length,ticks_total,ticks_yn,ticks_adult,ticks_larvae,hair,fecal,torn_ear,escaped,tissue,comments
fall,2012,2012-D,Jessica & Matt,12-Nov-12,3,180,120,NA,NA,Y,Y,28,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
spring,2012,2012-B,Chris & Quin,28-May-12,1,160,280,NA,NA,Y,N,29,Peromyscus,californicus,47,NA,NA,NA,NA,M,NA,120,NA,26,25,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
summer,2012,2012-C,Chris Lay & Alex Jones,7-Sep-12,2,160,280,NA,NA,Y,Y,29,Peromyscus,californicus,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
spring,2012,2012-B,Chris & Sam,30-May-12,3,160,80,NA,NA,Y,Y,30,Peromyscus,californicus,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
fall,2012,2012-D,Jessica & Matt,12-Nov-12,3,160,80,NA,NA,Y,Y,30,Peromyscus,californicus,70,10,60,NA,NA,M,NA,130,NA,25,21,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
spring,2012,2012-B,Chris & Quin,28-May-12,1,180,80,NA,NA,Y,N,30,Peromyscus,californicus,50,NA,NA,NA,NA,F,NA,130,NA,26,21,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
summer,2012,2012-C,J. Smith,7-Sep-12,2,180,100,NA,NA,Y,Y,30,Peromyscus,truei,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
spring,2013,2013-B,M.H & Y.W,18-May-13,1,140,100,NA,NA,Y,Y,30,Peromyscus,californicus,63,13,50,NA,NA,M,NA,124,NA,27,20,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
spring,2013,2013-B,Jess & Maya,19-May-13,2,180,100,NA,NA,Y,Y,30,Peromyscus,californicus,50,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
fall,2017,2017-D,Alex Jones,20-Nov-17,3,20,20,NA,NA,Y,Y,30,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
