quarter,year,ID,collectors,date,day_no,x,y,trap_malfunction,trap_malfunction_reason,animal,recap,tag_id,genus,species,total_weight,bag_weight,animal_weight,life_stage,reproduction,sex,body_length,tail_length,tuft_length,foot_length,ear_length,ticks_total,ticks_yn,ticks_adult,ticks_larvae,hair,fecal,torn_ear,escaped,tissue,comments,dead,no_tag,no_tag_reason,tag_no,tag_no_new,tag_prefix,tag_id_new,date_dist,trap_dist,FE_startdate,FE_datediff,date_dist_no,tag_prefix_new,FEtag_change,new_tag,n,tag_group,tag_no_prefix,tag_id_change
winter,2013,2013-A,NA,2013-02-10,2,160,280,NA,NA,y,y,29,NA,NA,NA,NA,NA,adult,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0029,29,NA,0029,1,20,2018-11-17,-2106,1,NA,NA,y,1,1,0,n
winter,2013,2013-A,NA,2013-02-11,3,180,280,NA,NA,y,y,29,Peromyscus,californicus,NA,NA,NA,adult,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0029,29,NA,0029,1,20,2018-11-17,-2105,1,NA,NA,n,NA,1,0,n
spring,2012,2012-B,Chris & Quin,2012-05-28,1,180,80,NA,NA,y,n,30,Peromyscus,californicus,NA,NA,NA,NA,NA,F,NA,130,NA,26,21,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0030,30,NA,0030,NA,NA,2018-11-17,-2364,NA,NA,NA,n,NA,1,0,n
spring,2012,2012-B,Chris & Sam,2012-05-30,3,160,80,NA,NA,y,y,30,Peromyscus,californicus,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0030,30,NA,0030,2,20,2018-11-17,-2362,2,NA,NA,n,NA,1,0,n
summer,2012,2012-C,J. Smith,2012-09-07,2,180,100,NA,NA,y,y,30,Peromyscus,truei,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0030,30,NA,0030,100,28.284271247461902,2018-11-17,-2262,100,NA,NA,n,NA,1,0,n
fall,2017,2017-D,Alex Jones,2017-11-20,3,20,20,NA,NA,y,y,30,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0030,30,NA,0030,1900,178.88543819998318,2018-11-17,-362,2,NA,NA,y,2,2,0,n
fall,2015,2015-D,"JAS, & N.N",2015-11-10,3,40,180,NA,NA,y,n,31,Peromyscus,truei,NA,NA,27,adult,lactating,F,NA,97,NA,22,20,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0031,31,NA,0031,NA,NA,2018-11-17,-1103,NA,NA,NA,y,1,1,0,n
winter,2011,2011-A,"Y Wang, & B Lehman",2011-02-04,3,120,100,NA,NA,y,n,32,Peromyscus,truei,NA,NA,26,NA,NA,F,NA,93,NA,21,22,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0032,32,NA,0032,NA,NA,2018-11-17,-2843,NA,NA,NA,n,NA,1,0,n
spring,2011,2011-B,Leiyhton,2011-05-05,2,140,60,NA,NA,y,y,32,Peromyscus,truei,NA,NA,28,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0032,32,NA,0032,90,44.721359549995796,2018-11-17,-2753,90,NA,NA,n,NA,1,0,n
spring,2012,2012-B,Chris & Quin,2012-05-28,1,60,220,NA,NA,y,y,32,Peromyscus,truei,NA,NA,NA,NA,NA,M,NA,90,NA,20,17,NA,NA,NA,NA,NA,NA,Y,NA,NA,Y; TAG RIPPED OUT,NA,NA,NA,0032,32,NA,0032,389,178.88543819998318,2018-11-17,-2364,389,NA,NA,n,NA,1,0,n
spring,2012,2012-B,NA,2012-05-30,3,80,260,NA,NA,y,y,32,Peromyscus,truei,NA,NA,20,NA,NA,M,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0032,32,NA,0032,2,44.721359549995796,2018-11-17,-2362,2,NA,NA,n,NA,1,0,n
