tag_id_new,species,mark
0128,truei,000 000 000 000 000 000 000 000 000 010 101 010 011 000 000 000 000 000 000 000 000 000 000 000 000 000 000 000 000 000 000 000 000 
0129,californicus,000 011 000 000 000 000 000 000 000 000 000 000 000 000 000 000 000 000 000 000 000 000 000 000 000 000 000 000 000 000 000 000 000 
0130,truei,000 000 000 000 000 000 000 000 000 000 101 000 000 000 000 000 000 000 000 000 000 000 000 000 000 000 000 000 000 000 000 000 000 
0131,truei,010 000 000 000 000 000 000 000 000 000 100 010 000 000 000 000 000 000 000 000 000 000 000 000 000 000 000 000 000 000 000 000 000 
0132,californicus,000 000 000 000 000 000 000 000 000 000 100 110 110 110 111 101 100 000 000 000 000 000 000 000 000 000 000 000 000 000 000 000 000 
0132,truei,000 000 000 000 000 000 000 000 000 000 000 000 001 000 000 000 000 000 000 000 000 000 000 000 000 000 000 000 000 000 000 000 000 
0133,truei,000 000 000 000 000 000 000 000 000 000 000 000 000 000 000 000 000 000 000 000 000 000 000 000 000 000 000 000 000 000 000 000 000 
0134,truei,000 010 000 000 000 000 000 000 000 000 000 000 000 000 000 000 000 000 000 000 000 000 000 000 000 000 000 000 000 000 000 000 000 
0135,truei,000 000 000 000 100 000 000 000 000 000 000 000 000 000 000 000 000 000 000 000 000 000 000 000 000 000 000 000 000 000 000 000 000 
0137,truei,000 000 000 000 000 000 000 000 000 000 000 000 000 000 000 000 000 000 000 000 000 000 000 000 000 000 000 100 000 000 000 000 000 
0139,truei,011 111 000 110 101 000 000 000 000 000 000 000 000 000 000 000 000 000 000 000 000 000 000 000 000 000 000 000 000 000 000 000 000 
0140,californicus,011 111 000 111 000 000 000 000 000 000 000 000 000 000 000 000 000 000 000 000 000 000 000 000 000 000 000 000 000 000 000 000 000 
0141,truei,011 111 000 000 000 000 000 000 000 000 000 000 000 000 000 000 000 000 000 000 000 000 000 000 000 000 000 000 000 000 000 000 000 
0142,truei,011 000 000 000 000 000 000 000 000 000 000 000 000 000 000 000 000 000 000 000 000 000 000 000 000 000 000 000 000 000 000 000 000 
0143,truei,011 111 000 000 000 000 000 000 000 000 000 000 000 000 000 000 000 000 000 000 000 000 000 000 000 000 000 000 000 000 000 000 000 
0144,californicus,011 111 000 111 101 000 000 000 000 000 000 000 000 000 000 000 000 000 000 000 000 000 000 000 000 000 000 000 000 000 000 000 000 
0145,californicus,110 000 000 000 000 000 000 000 000 000 000 000 000 000 000 000 000 000 000 000 000 000 000 000 000 000 000 000 000 000 000 000 000 
0146,truei,000 000 000 000 000 000 000 000 000 000 000 000 000 010 000 000 000 000 000 000 000 000 000 000 000 000 000 000 000 000 000 000 000 
0147,californicus,000 000 000 000 000 000 000 000 000 000 000 000 000 001 000 000 000 000 000 000 000 000 000 000 000 000 000 000 000 000 000 000 000 
0148,truei,111 000 000 000 000 000 000 000 000 000 000 000 000 000 000 000 000 000 000 000 000 000 000 000 000 000 000 000 000 000 000 000 000 
0149,californicus,110 000 000 000 000 000 000 000 000 000 000 000 000 000 000 000 000 000 000 000 000 000 000 000 000 000 000 000 000 000 000 000 000 
0150,truei,000 000 000 000 000 000 000 000 000 000 000 000 000 000 000 000 000 000 000 000 000 000 000 000 000 000 100 000 000 000 000 000 000 
0151,truei,000 000 000 000 000 000 000 000 000 001 101 101 110 000 000 000 000 000 000 000 000 000 000 000 000 000 000 000 000 000 000 000 000 
0152,truei,000 000 000 000 000 000 000 000 000 000 000 000 000 100 100 010 000 000 000 000 000 000 000 000 000 000 000 000 000 000 000 000 000 
0153,truei,000 000 000 000 000 000 000 000 000 000 000 000 000 010 000 000 000 000 000 000 000 000 000 000 000 000 000 000 000 000 000 000 000 
0154,truei,000 000 000 000 000 000 000 000 000 000 000 000 000 100 000 000 000 000 000 000 000 000 000 000 000 000 000 000 000 000 000 000 000 
0155,truei,000 000 000 000 000 000 000 000 000 000 000 001 000 010 000 000 000 000 000 000 000 000 000 000 000 000 000 000 000 000 000 000 000 
0156,truei,000 000 000 000 000 000 000 000 000 000 000 000 000 010 000 000 000 000 000 000 000 000 000 000 000 000 000 000 000 000 000 000 000 
0157,californicus,000 000 000 000 000 000 000 000 000 000 000 000 000 010 000 000 000 000 000 000 000 000 000 000 000 000 000 000 000 000 000 000 000 
0158,fuscus,010 000 000 000 000 000 000 000 000 000 000 000 000 000 000 000 000 000 000 000 000 000 000 000 000 000 000 000 000 000 000 000 000 
0159,truei,011 000 000 000 000 000 000 000 000 000 000 000 000 000 000 000 000 000 000 000 000 000 000 000 000 000 000 000 000 000 000 000 000 
0160,truei,000 000 000 000 000 000 000 000 000 000 000 000 000 001 010 000 000 000 000 000 000 000 000 000 000 000 000 000 000 000 000 000 000 
0161,californicus,000 000 000 000 000 000 000 000 000 000 000 000 000 010 000 000 000 000 000 000 000 000 000 000 000 000 000 000 000 000 000 000 000 
0162,californicus,000 000 000 000 000 000 000 000 000 000 010 000 001 100 101 110 111 100 000 000 000 000 000 000 000 000 000 000 000 000 000 000 000 
0162,truei,011 011 000 000 000 000 000 000 000 000 000 000 000 000 000 000 000 000 000 000 000 000 000 000 000 000 000 000 000 000 000 000 000 
0163,truei,000 000 000 000 000 000 000 000 000 000 000 000 000 110 110 000 000 000 000 000 000 000 000 000 000 000 000 000 000 000 000 000 000 
0164,truei,000 000 000 000 000 000 000 000 000 000 110 000 000 000 000 000 000 000 000 000 000 000 000 000 000 000 000 000 000 000 000 000 000 
0165,californicus,000 000 000 000 000 000 000 000 000 000 000 000 000 000 000 000 000 010 000 000 000 000 000 000 000 000 000 000 000 000 000 000 000 
0166,truei,011 111 000 000 000 000 000 000 000 000 000 000 000 000 000 000 000 000 000 000 000 000 000 000 000 000 000 000 000 000 000 000 000 
0167,californicus,011 111 000 000 000 000 000 000 000 000 000 000 000 000 000 000 000 000 000 000 000 000 000 000 000 000 000 000 000 000 000 000 000 
0168,truei,000 000 000 000 000 000 000 000 000 000 000 000 000 010 000 000 000 000 000 000 000 000 000 000 000 000 000 000 000 000 000 000 000 
0169,truei,000 000 000 000 000 000 000 000 000 000 000 000 000 001 110 100 110 001 000 000 000 000 000 000 000 000 000 000 000 000 000 000 000 
0170,truei,111 000 000 000 000 000 000 000 000 000 000 000 000 000 000 000 000 000 000 000 000 000 000 000 000 000 000 000 000 000 000 000 000 
0171,californicus,000 000 000 000 000 000 000 000 000 000 000 000 000 000 000 110 000 000 000 000 000 000 000 000 000 000 000 000 000 000 000 000 000 
0172,californicus,000 000 000 000 000 000 000 000 000 000 000 000 000 010 000 111 010 100 000 000 000 000 000 000 000 000 000 000 000 000 000 000 000 
0172,truei,000 000 000 000 000 000 000 000 000 000 000 000 000 000 000 000 101 000 000 000 000 000 000 000 000 000 000 000 000 000 000 000 000 
0173,californicus,100 101 000 000 000 000 000 000 000 000 000 001 000 100 000 000 000 000 000 000 000 000 000 000 000 000 000 000 000 000 000 000 000 
0174,californicus,000 000 000 000 000 000 000 000 000 000 000 000 000 100 000 000 000 000 000 000 000 000 000 000 000 000 000 000 000 000 000 000 000 
0175,truei,000 000 000 000 000 000 000 000 000 000 001 010 100 100 101 000 000 000 000 000 000 000 000 000 000 000 000 000 000 000 000 000 000 
0176,californicus,110 000 000 000 000 000 000 000 000 000 000 000 000 000 000 000 000 000 000 000 000 000 000 000 000 000 000 000 000 000 000 000 000 
0177,truei,110 000 000 000 000 000 000 000 000 000 000 000 000 000 000 000 000 000 000 000 000 000 000 000 000 000 000 000 000 000 000 000 000 
0178,californicus,000 000 000 000 000 000 000 000 000 000 000 000 100 000 000 000 000 000 000 000 000 000 000 000 000 000 000 000 000 000 000 000 000 
0178,truei,000 000 000 000 000 000 000 000 000 000 000 000 011 001 010 101 000 000 000 000 000 000 000 000 000 000 000 000 000 000 000 000 000 
0179,californicus,000 000 000 000 000 000 000 000 000 000 000 000 100 000 000 000 000 000 000 000 000 000 000 000 000 000 000 000 000 000 000 000 000 
0179,truei,000 000 000 000 000 000 000 000 000 000 000 000 001 000 000 000 000 000 000 000 000 000 000 000 000 000 000 000 000 000 000 000 000 
0180,californicus,000 000 000 000 000 000 000 000 000 000 000 000 000 000 010 000 000 000 000 000 000 000 000 000 000 000 000 000 000 000 000 000 000 
0180,truei,000 000 000 000 000 000 000 000 000 000 000 000 110 100 001 000 000 000 000 000 000 000 000 000 000 000 000 000 000 000 000 000 000 
0181,fuscus,000 100 000 000 000 000 000 000 000 000 000 000 000 000 000 000 000 000 000 000 000 000 000 000 000 000 000 000 000 000 000 000 000 
