quarter,year,ID,collectors,date,day_no,x,y,trap_malfunction,trap_malfunction_reason,animal,recap,tag_id,genus,species,total_weight,bag_weight,animal_weight,life_stage,reproduction,sex,body_length,tail_length,tuft_length,foot_length,ear_length,ticks_total,ticks_yn,ticks_adult,ticks_larvae,hair,fecal,torn_ear,escaped,tissue,comments
winter,2015,2015-A,Kelsey & Justin,2/14/15,1,180,80,NA,NA,y,n,586,Peromyscus,californicus,24,NA,NA,NA,NA,M,NA,123,NA,24,18,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
winter,2015,2015-A,Kelsey & Justin,2/14/15,1,140,140,NA,NA,y,n,592,Peromyscus,californicus,38,NA,NA,NA,NA,M,NA,125,NA,24,22,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
winter,2015,2015-A,"Maycee, & Savannah",2/14/15,1,20,60,NA,NA,y,y,879,Peromyscus,truei,23,NA,NA,NA,NA,M,NA,115,NA,22,19,NA,NA,NA,NA,NA,NA,NA,NA,NA,*
winter,2015,2015-A,"Maycee, & Savannah",2/14/15,1,60,260,NA,NA,y,y,959,Peromyscus,truei,24,NA,NA,NA,NA,M,NA,105,NA,21,18,NA,NA,NA,NA,NA,NA,NA,NA,NA,Y
winter,2015,2015-A,Kelsey & Justin,2/14/15,1,180,20,NA,NA,y,y,967,Peromyscus,truei,37,NA,NA,NA,NA,M,NA,115,NA,25,21,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
winter,2015,2015-A,"Maycee, & Savannah",2/14/15,1,40,280,NA,NA,y,n,983,Neotoma,fuscipes,204,NA,NA,NA,NA,F,NA,197,NA,35,35,NA,NA,NA,NA,NA,NA,NA,NA,NA,Y; WOODRAT! PHOTO 8690; *
winter,2015,2015-A,"Maycee, & Savannah",2/14/15,1,20,280,NA,NA,y,n,985,NA,NA,24,NA,NA,NA,NA,M,NA,108,NA,22,17,NA,NA,NA,NA,NA,NA,NA,NA,NA,*
winter,2015,2015-A,"Maycee, & Savannah",2/14/15,1,40,20,NA,NA,y,n,986,Peromyscus,truei,28,NA,NA,NA,NA,M,NA,104,NA,21,17,NA,NA,NA,NA,NA,NA,NA,NA,NA,Y; PHOTO 8702; *BAG 6G
winter,2015,2015-A,"Maycee, & Savannah",2/14/15,1,20,140,NA,NA,y,n,987,Peromyscus,truei,23,NA,NA,NA,NA,M,NA,100,NA,23,20,NA,NA,NA,NA,NA,NA,Y,NA,NA,Y; *; TORN RIGHT EAR
winter,2015,2015-A,"Maycee, & Savannah",2/14/15,1,40,140,NA,NA,y,n,989,Peromyscus,truei,25,NA,NA,NA,NA,F,NA,98,NA,23,17,NA,NA,NA,NA,NA,NA,NA,NA,NA,Y; PHOTO 8696; *
winter,2015,2015-A,Kelsey & Justin,2/14/15,1,180,100,NA,NA,y,y,NA,Peromyscus,californicus,41,NA,NA,NA,NA,M,NA,134,NA,24,20,NA,NA,NA,NA,NA,NA,Y,NA,NA,"Y; BOTH TAGS RIPPED BOTH EARS OUT, NOT RETAGGED"
winter,2015,2015-A,Kelsey & Justin,2/14/15,1,180,280,NA,NA,y,y,NA,Peromyscus,truei,30,NA,NA,NA,NA,M,NA,110,NA,21,20,NA,NA,NA,NA,NA,NA,Y,NA,NA,"Y; BOTH EARS RIPPED OUT, NOT RETAGGED"
winter,2015,2015-A,Kelsey & Justin,2/14/15,1,180,200,NA,NA,y,NA,NA,Sorex,trowbridgii,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Y; DEAD
winter,2015,2015-A,"Maycee, & Savannah",2/14/15,1,20,40,NA,NA,n,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,*
winter,2015,2015-A,"Maycee, & Savannah",2/14/15,1,20,80,NA,NA,n,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,*
winter,2015,2015-A,"Maycee, & Savannah",2/14/15,1,20,100,NA,NA,n,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,*
winter,2015,2015-A,"Maycee, & Savannah",2/14/15,1,20,120,NA,NA,n,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,*
winter,2015,2015-A,"Maycee, & Savannah",2/14/15,1,20,160,NA,NA,n,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,*
winter,2015,2015-A,"Maycee, & Savannah",2/14/15,1,20,200,NA,NA,n,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,*
winter,2015,2015-A,"Maycee, & Savannah",2/14/15,1,20,240,NA,NA,n,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,*
winter,2015,2015-A,"Maycee, & Savannah",2/14/15,1,20,260,NA,NA,n,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,*
winter,2015,2015-A,"Maycee, & Savannah",2/14/15,1,40,80,NA,NA,n,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,*
winter,2015,2015-A,"Maycee, & Savannah",2/14/15,1,40,160,NA,NA,n,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,*
winter,2015,2015-A,"Maycee, & Savannah",2/14/15,1,40,180,NA,NA,n,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,*
winter,2015,2015-A,"Maycee, & Savannah",2/14/15,1,40,200,NA,NA,n,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,*
winter,2015,2015-A,"Maycee, & Savannah",2/14/15,1,40,220,NA,NA,n,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,*
winter,2015,2015-A,"Maycee, & Savannah",2/14/15,1,40,240,NA,NA,n,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,*
winter,2015,2015-A,"Maycee, & Savannah",2/14/15,1,40,260,NA,NA,n,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,*
winter,2015,2015-A,"Maycee, & Savannah",2/14/15,1,60,20,NA,NA,n,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Y; ^BAG = 6G; NOTE SCALE INNACURATE; BAG 15 9 G
winter,2015,2015-A,"Maycee, & Savannah",2/14/15,1,60,40,NA,NA,n,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,^
winter,2015,2015-A,"Maycee, & Savannah",2/14/15,1,60,60,NA,NA,n,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,^
winter,2015,2015-A,"Maycee, & Savannah",2/14/15,1,60,80,NA,NA,n,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,^
winter,2015,2015-A,"Maycee, & Savannah",2/14/15,1,60,120,NA,NA,n,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,^
winter,2015,2015-A,"Maycee, & Savannah",2/14/15,1,60,140,NA,NA,n,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,^
winter,2015,2015-A,"Maycee, & Savannah",2/14/15,1,60,160,NA,NA,n,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,^
