quarter,year,ID,date,day_no,tag_error_flag,tag_id,tag_id_new,date_dist,trap_dist,x,y,animal,recap,genus,species,total_weight,bag_weight,animal_weight,life_stage,reproduction,sex,body_length,tail_length,tuft_length,foot_length,ear_length,comments
winter,2011,2011-A,2011-02-04,3,NA,33,0033,1,44.721359549995796,160,200,Y,Y,Peromyscus,californicus,55,10,45,NA,NA,F,NA,NA,NA,NA,NA,NA
spring,2011,2011-B,2011-05-05,2,trap distance large,33,0033,90,89.44271909999159,120,120,Y,Y,Peromyscus,californicus,85,32,53,NA,NA,NA,NA,NA,NA,NA,NA,NA
spring,2011,2011-B,2011-05-04,1,NA,34,0034,NA,NA,80,80,Y,N,Peromyscus,truei,22,NA,NA,NA,NA,M,NA,NA,NA,22,NA,NA
spring,2011,2011-B,2011-05-06,3,NA,34,0034,2,0,80,80,Y,N,Peromyscus,truei,22,NA,NA,NA,NA,M,NA,NA,NA,22,NA,NA
fall,2010,2010-D,2010-11-05,2,NA,35,0035,NA,NA,180,40,Y,N,Peromyscus,truei,31,9,22,NA,NA,M,NA,105,NA,24,17,NA
fall,2010,2010-D,2010-11-06,3,trap distance large,35,0035,1,80,180,120,Y,Y,Peromyscus,truei,30,9,21,NA,NA,NA,NA,NA,NA,NA,NA,NA
fall,2010,2010-D,2010-11-07,4,NA,35,0035,1,0,180,120,Y,Y,Peromyscus,truei,30,NA,30,adult,NA,NA,NA,NA,NA,NA,NA,NA
winter,2011,2011-A,2011-02-02,1,NA,35,0035,87,20,180,100,Y,NA,Peromyscus,truei,NA,NA,NA,NA,NA,M,NA,NA,NA,NA,NA,"Y; TORPOR, TRIED TO WARM LEFT AT 20-80"
summer,2012,2012-C,2012-09-07,2,date distance large,35,0035,583,40,180,60,Y,N,Peromyscus,californicus,35,NA,NA,NA,NA,F,NA,115,NA,24,21,NA
summer,2012,2012-C,2012-09-08,3,NA,35,0035,1,20,180,40,Y,N,Peromyscus,truei,14,NA,NA,NA,NA,F,NA,90,NA,23,19,NA
spring,2011,2011-B,2011-05-04,1,NA,36,0036,NA,NA,140,60,Y,N,Peromyscus,truei,27,NA,NA,NA,NA,F,NA,NA,NA,24,NA,NA
spring,2011,2011-B,2011-05-04,1,NA,36,0036,0,20,120,60,Y,N,Peromyscus,truei,27,NA,NA,NA,NA,F,NA,NA,NA,24,NA,NA
spring,2011,2011-B,2011-05-05,2,trap distance large,36,0036,1,80,40,60,Y,Y,NA,NA,62,32,30,NA,NA,NA,NA,NA,NA,NA,NA,Y; NO TRAP
spring,2011,2011-B,2011-05-06,3,trap distance large,36,0036,1,80,120,60,N,N,Peromyscus,truei,27,NA,NA,NA,NA,F,NA,NA,NA,24,NA,NA
spring,2011,2011-B,2011-05-06,3,NA,36,0036,0,20,140,60,Y,N,Peromyscus,truei,27,NA,NA,NA,NA,F,NA,NA,NA,24,NA,NA
spring,2012,2012-B,2012-05-28,1,NA,36,0036,388,28.284271247461902,160,40,Y,Y,Peromyscus,truei,30,NA,NA,NA,NA,F,NA,90,NA,21,15,NA
spring,2012,2012-B,2012-05-29,2,NA,36,0036,1,20,160,60,Y,Y,Peromyscus,truei,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
spring,2012,2012-B,2012-05-30,3,NA,36,0036,1,28.284271247461902,180,40,Y,Y,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
summer,2012,2012-C,2012-09-06,1,NA,36,0036,99,20,180,60,Y,Y,Peromyscus,truei,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
summer,2012,2012-C,2012-09-07,2,NA,36,0036,1,20,180,40,Y,Y,Peromyscus,truei,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
summer,2012,2012-C,2012-09-08,3,NA,36,0036,1,20,180,60,Y,Y,Peromyscus,truei,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
fall,2012,2012-D,2012-11-10,1,NA,36,0036,63,20,180,40,Y,Y,Peromyscus,truei,33,NA,NA,NA,NA,F,NA,100,NA,25,20,Y; TICK ABOVE EYE
fall,2012,2012-D,2012-11-11,2,NA,36,0036,1,40,140,40,Y,Y,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
fall,2012,2012-D,2012-11-12,3,NA,36,0036,1,20,160,40,Y,Y,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Y; TICK ABOVE THE EYE
spring,2012,2012-B,2012-05-28,1,NA,37,0037,NA,NA,180,280,Y,N,Peromyscus,truei,25,NA,NA,NA,NA,M,NA,90,NA,20,16,NA
summer,2012,2012-C,2012-09-06,1,NA,37,0037,101,20,160,280,Y,Y,Peromyscus,truei,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
summer,2012,2012-C,2012-09-07,2,NA,37,0037,1,20,180,280,Y,Y,Peromyscus,truei,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
summer,2012,2012-C,2012-09-08,3,NA,37,0037,1,0,180,280,Y,Y,Peromyscus,truei,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
fall,2010,2010-D,2010-11-04,1,NA,39,1039,NA,NA,40,140,Y,N,Peromyscus,truei,34,10,24,NA,NA,M,NA,103,NA,24,18,NA
fall,2010,2010-D,2010-11-05,2,NA,39,1039,1,20,40,160,Y,Y,Peromyscus,truei,30,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
winter,2011,2011-A,2011-02-03,2,trap distance large,39,1039,90,101.9803902718557,140,140,Y,Y,Peromyscus,truei,28,NA,28,adult,NA,M,NA,NA,NA,NA,NA,MISSING DATA SHEET
spring,2012,2012-B,2012-05-30,3,NA,39,0039,NA,NA,180,280,Y,Y,Peromyscus,truei,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
winter,2012,2012-A,2012-03-05,1,NA,40,0040,NA,NA,180,220,Y,Y,Peromyscus,truei,NA,NA,NA,adult,NA,NA,NA,NA,NA,NA,NA,MISSING DATA SHEET
winter,2012,2012-A,2012-03-08,4,NA,40,0040,3,20,160,220,Y,N,NA,NA,20,NA,NA,NA,NA,M,NA,85,NA,20,14,NA
