quarter,year,ID,Collectors,Date,x,Y,Animal,Tag,Genus,Species,life_stage,recap,torn_ear,escaped,weight,Sex,reproduction,Hair,tissue,tail,foot,ear,bait_stolen,trap_malfunction,ticks,Comments,,,,,,
spring,2009,2009-B,,4/30/2009,40,20,N,,,,,,,,,,,,,,,,,,,,,,,,,
spring,2009,2009-B,,4/30/2009,40,40,N,,,,,,,,,,,,,,,,,,,,,,,,,
spring,2009,2009-B,,4/30/2009,40,60,Y,121,Peromyscus,boylii,adult,N,,,27,M,,,,,,,,,,,,,,,,
spring,2009,2009-B,,4/30/2009,40,80,Y,198,Peromyscus,boylii,adult,Y,,,,,,,,,,,,,,Recap from March,,,,,,
spring,2009,2009-B,,4/30/2009,40,100,N,,,,,,,,,,,,,,,,,,,,,,,,,
spring,2009,2009-B,,4/30/2009,40,120,Y,167,Peromyscus,californicus,adult,N,,,33,M,,,,,,,,,,,,,,,,
spring,2009,2009-B,,4/30/2009,40,140,N,,,,,,,,,,,,,,,,,,,,,,,,,
spring,2009,2009-B,,4/30/2009,40,160,N,,,,,,,,,,,,,,,,,,,,,,,,,
spring,2009,2009-B,,4/30/2009,40,180,Y,143,Peromyscus,boylii,juvenile,N,,,21.5,F,,,,,,,,,,Looks young,,,,,,
spring,2009,2009-B,,4/30/2009,40,200,N,,,,,,,,,,,,,,,,,,,,,,,,,
spring,2009,2009-B,,4/30/2009,40,220,N,,,,,,,,,,,,,,,,,,,,,,,,,
spring,2009,2009-B,,4/30/2009,40,240,Y,142,Peromyscus,boylii,adult,N,,,23,M,,,,,,,,,,Recap from March,,,,,,
spring,2009,2009-B,,4/30/2009,40,260,Y,148,Peromyscus,boylii,adult,Y,,,,,,,,,,,,,,,,,,,,
spring,2009,2009-B,,4/30/2009,40,280,N,,,,,,,,,,,,,,,,,,,,,,,,,
spring,2009,2009-B,,4/30/2009,60,20,Y,175,Peromyscus,boylii,adult,Y,,,,,,,,,,,,,,,,,,,,
spring,2009,2009-B,,4/30/2009,60,40,N,,,,,,,,,,,,,,,,,,,,,,,,,
spring,2009,2009-B,,4/30/2009,60,60,Y,141,Peromyscus,boylii,adult,N,,,24.5,F,,,,,,,,,,,,,,,,
spring,2009,2009-B,,4/30/2009,60,80,N,,,,,,,,,,,,,,,,,,,,,,,,,
spring,2009,2009-B,,4/30/2009,60,100,Y,165,Peromyscus,boylii,adult,N,,,23,M,,,,,,,,,,,,,,,,
spring,2009,2009-B,,4/30/2009,60,120,N,,,,,,,,,,,,,,,,,,,,,,,,,
spring,2009,2009-B,,4/30/2009,60,140,N,,,,,,,,,,,,,,,,,,,,,,,,,
spring,2009,2009-B,,4/30/2009,60,160,N,,,,,,,,,,,,,,,,,,,,,,,,,
spring,2009,2009-B,,4/30/2009,60,180,Y,199,Peromyscus,boylii,adult,Y,,,,,,,,,,,,,,,,,,,,
spring,2009,2009-B,,4/30/2009,60,200,N,,,,,,,,,,,,,,,,,,,,,,,,,
spring,2009,2009-B,,4/30/2009,60,220,N,,,,,,,,,,,,,,,,,,,,,,,,,
spring,2009,2009-B,,4/30/2009,60,240,Y,124,Peromyscus,boylii,adult,Y,,,,,,,,,,,,,,,,,,,,
spring,2009,2009-B,,4/30/2009,60,260,N,,,,,,,,,,,,,,,,,,,,,,,,,
spring,2009,2009-B,,4/30/2009,60,280,N,,,,,,,,,,,,,,,,,,,,,,,,,
spring,2009,2009-B,,4/30/2009,80,20,N,,,,,,,,,,,,,,,,,,,,,,,,,
spring,2009,2009-B,,4/30/2009,80,40,N,,,,,,,,,,,,,,,,,,,,,,,,,
spring,2009,2009-B,,4/30/2009,80,60,N,,,,,,,,,,,,,,,,,,,,,,,,,
spring,2009,2009-B,,4/30/2009,80,80,N,,,,,,,,,,,,,,,,,,,,,,,,,
spring,2009,2009-B,,4/30/2009,80,100,N,,,,,,,,,,,,,,,,,,,,,,,,,
spring,2009,2009-B,,4/30/2009,80,120,N,,,,,,,,,,,,,,,,,,,,,,,,,
spring,2009,2009-B,,4/30/2009,80,140,N,,,,,,,,,,,,,,,,,,,,,,,,,
spring,2009,2009-B,,4/30/2009,80,160,N,,,,,,,,,,,,,,,,,,,,,,,,,
spring,2009,2009-B,,4/30/2009,80,180,Y,179,Neotoma,fuscipes,adult,N,,,210,,,,,,,,,,,,,,,,,
spring,2009,2009-B,,4/30/2009,80,200,N,,,,,,,,,,,,,,,,,,,,,,,,,
spring,2009,2009-B,,4/30/2009,80,220,N,,,,,,,,,,,,,,,,,,,,,,,,,
spring,2009,2009-B,,4/30/2009,80,240,N,,,,,,,,,,,,,,,,,,,,,,,,,
spring,2009,2009-B,,4/30/2009,80,260,Y,196,Peromyscus,boylii,adult,Y,,,,,,,,,,,,,,,,,,,,
spring,2009,2009-B,,4/30/2009,80,280,N,,,,,,,,,,,,,,,,,,,,,,,,,
spring,2009,2009-B,,4/30/2009,100,20,Y,8,Peromyscus,boylii,adult,N,,,37.5,F,,,,,,,,,,Recap from March,,,,,,
spring,2009,2009-B,,4/30/2009,100,40,N,,,,,,,,,,,,,,,,,,,,,,,,,
spring,2009,2009-B,,4/30/2009,100,60,N,,,,,,,,,,,,,,,,,,,,,,,,,
spring,2009,2009-B,,4/30/2009,100,80,Y,140,Peromyscus,californicus,adult,N,,,69,F,,,,,,,,,,,,,,,,
spring,2009,2009-B,,4/30/2009,100,100,N,,,,,,,,,,,,,,,,,,,,,,,,,
spring,2009,2009-B,,4/30/2009,100,120,N,,,,,,,,,,,,,,,,,,,,,,,,,
spring,2009,2009-B,,4/30/2009,100,140,Y,137,Peromyscus,boylii,adult,N,,,35.5,M,,,,,,,,,,,,,,,,
spring,2009,2009-B,,4/30/2009,100,160,N,,,,,,,,,,,,,,,,,,,,,,,,,
spring,2009,2009-B,,4/30/2009,100,180,N,,,,,,,,,,,,,,,,,,,,,,,,,
spring,2009,2009-B,,4/30/2009,100,200,N,,,,,,,,,,,,,,,,,,,,,,,,,
spring,2009,2009-B,,4/30/2009,100,220,N,,,,,,,,,,,,,,,,,,,,,,,,,
spring,2009,2009-B,,4/30/2009,100,240,Y,178,Peromyscus,boylii,adult,Y,,,,,,,,,,,,,,,,,,,,
spring,2009,2009-B,,4/30/2009,100,260,Y,194,Peromyscus,boylii,adult,Y,,,,,,,,,,,,,,,,,,,,
spring,2009,2009-B,,4/30/2009,100,280,Y,174,Peromyscus,californicus,adult,Y,,,,,,,,,,,,,,,,,,,,
spring,2009,2009-B,,4/30/2009,120,20,N,,,,,,,,,,,,,,,,,,,,,,,,,
spring,2009,2009-B,,4/30/2009,120,40,Y,147,Peromyscus,boylii,adult,Y,,,,,,,,,,,,,,,,,,,,
spring,2009,2009-B,,4/30/2009,120,60,N,,,,,,,,,,,,,,,,,,,,,,,,,
spring,2009,2009-B,,4/30/2009,120,80,Y,51,Peromyscus,californicus,adult,Y,,,35,,,,,,,,,,,,,,,,,
spring,2009,2009-B,,4/30/2009,120,100,Y,139,Peromyscus,boylii,adult,N,,,32,F,,,,,,,,,,,,,,,,
spring,2009,2009-B,,4/30/2009,120,120,N,,,,,,,,,,,,,,,,,,,,,,,,,
spring,2009,2009-B,,4/30/2009,120,140,N,,,,,,,,,,,,,,,,,,,,,,,,,
spring,2009,2009-B,,4/30/2009,120,160,N,,,,,,,,,,,,,,,,,,,,,,,,,
spring,2009,2009-B,,4/30/2009,120,180,N,,,,,,,,,,,,,,,,,,,,,,,,,
spring,2009,2009-B,,4/30/2009,120,200,N,,,,,,,,,,,,,,,,,,,,,,,,,
spring,2009,2009-B,,4/30/2009,120,220,N,,,,,,,,,,,,,,,,,,,,,,,,,
spring,2009,2009-B,,4/30/2009,120,240,N,,,,,,,,,,,,,,,,,,,,,,,,,
spring,2009,2009-B,,4/30/2009,120,260,Y,136,Peromyscus,boylii,adult,N,,,29,F,,,,,,,,,,,,,,,,
spring,2009,2009-B,,4/30/2009,120,280,N,,,,,,,,,,,,,,,,,,,,,,,,,
spring,2009,2009-B,,4/30/2009,140,20,Y,159,Peromyscus,boylii,adult,N,,,31,F,,,,,,,,,,,,,,,,
spring,2009,2009-B,,4/30/2009,140,40,N,,,,,,,,,,,,,,,,,,,,,,,,,
spring,2009,2009-B,,4/30/2009,140,60,Y,160,Peromyscus,californicus,adult,N,,,61,,,,,,,,,,,,,,,,,
spring,2009,2009-B,,4/30/2009,140,80,N,,,,,,,,,,,,,,,,,,,,,,,,,
spring,2009,2009-B,,4/30/2009,140,100,Y,161,Peromyscus,boylii,adult,N,,,37,M,,,,,,,,,,,,,,,,
spring,2009,2009-B,,4/30/2009,140,120,Y,170,Peromyscus,boylii,adult,Y,,,,,,,,,,,,,,,,,,,,
spring,2009,2009-B,,4/30/2009,140,140,N,,,,,,,,,,,,,,,,,,,,,,,,,
spring,2009,2009-B,,4/30/2009,140,160,Y,163,Peromyscus,boylii,adult,N,,,31.5,M,,,,,,,,,,,,,,,,
spring,2009,2009-B,,4/30/2009,140,180,N,,,,,,,,,,,,,,,,,,,,,,,,,
spring,2009,2009-B,,4/30/2009,140,200,Y,119,Peromyscus,boylii,adult,N,,,36.5,M,,,,,,,,,,,,,,,,
spring,2009,2009-B,,4/30/2009,140,220,N,,,,,,,,,,,,,,,,,,,,,,,,,
spring,2009,2009-B,,4/30/2009,140,240,Y,168,Peromyscus,boylii,adult,Y,,,,,,,,,,,,,,,,,,,,
spring,2009,2009-B,,4/30/2009,140,260,N,,,,,,,,,,,,,,,,,,,,,,,,,
spring,2009,2009-B,,4/30/2009,140,280,N,,,,,,,,,,,,,,,,,,,,,,,,,
spring,2009,2009-B,,4/30/2009,160,20,Y,9,Peromyscus,boylii,adult,N,,,27,M,,,,,,,,,,Recap from March,,,,,,
spring,2009,2009-B,,4/30/2009,160,40,Y,172,Peromyscus,boylii,adult,Y,,,,,,,,,,,,,,,,,,,,
spring,2009,2009-B,,4/30/2009,160,60,N,,,,,,,,,,,,,,,,,,,,,,,,,
spring,2009,2009-B,,4/30/2009,160,80,N,,,,,,,,,,,,,,,,,,,,,,,,,
spring,2009,2009-B,,4/30/2009,160,100,N,,,,,,,,,,,,,,,,,,,,,,,,,
spring,2009,2009-B,,4/30/2009,160,120,Y,162,Peromyscus,boylii,adult,N,,,26.5,F,,,,,,,,,,,,,,,,
spring,2009,2009-B,,4/30/2009,160,140,N,,,,,,,,,,,,,,,,,,,,,,,,,
spring,2009,2009-B,,4/30/2009,160,160,Y,164,Peromyscus,californicus,adult,N,,,49.5,M,,,,,,,,,,,,,,,,
spring,2009,2009-B,,4/30/2009,160,180,N,,,,,,,,,,,,,,,,,,,,,,,,,
spring,2009,2009-B,,4/30/2009,160,200,N,,,,,,,,,,,,,,,,,,,,,,,,,
spring,2009,2009-B,,4/30/2009,160,220,N,,,,,,,,,,,,,,,,,,,,,,,,,
spring,2009,2009-B,,4/30/2009,160,240,Y,132,Peromyscus,boylii,adult,N,Y,,24,F,,,,,,,,,,Split left ear,,,,,,
spring,2009,2009-B,,4/30/2009,160,260,Y,131,Peromyscus,boylii,adult,N,,,21.5,M,,,,,,,,,,,,,,,,
spring,2009,2009-B,,4/30/2009,160,280,Y,145,Peromyscus,californicus,adult,Y,,,,F,,,,,,,,,2,Recap from March; ticks; not in good shape,,,,,,
spring,2009,2009-B,,4/30/2009,180,20,Y,158,Neotoma,fuscipes,adult,N,,,265,F,,,,,,,,,,,,,,,,
spring,2009,2009-B,,4/30/2009,180,40,N,,,,,,,,,,,,,,,,,,,,,,,,,
spring,2009,2009-B,,4/30/2009,180,60,N,,,,,,,,,,,,,,,,,,,,,,,,,
